flag_gems.ops.mm.general_mm, [shape info]: [-, 168, 512, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 176, 2112, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 208, 1536, 1536](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 240, 384, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 240, 512, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 256, 512, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 384, 7168, 256](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 40, 1536, 1536](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 48, 384, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 8, 512, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 88, 2112, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 112, 7168, 256](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 120, 7168, 256](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 152, 512, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 168, 7168, 256](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 176, 7168, 256](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 192, 7168, 256](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 248, 2112, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 320, 512, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 368, 512, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 368, 7168, 256](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 4, 512, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 4, 7168, 256](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 448, 512, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 480, 512, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 480, 7168, 256](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 496, 512, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 496, 7168, 256](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 72, 384, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 80, 512, 7168](batch, M, N, K), [count]: 234
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 7168, 256](batch, M, N, K), [count]: 233
flag_gems.ops.mm.general_mm, [shape info]: [-, 152, 7168, 256](batch, M, N, K), [count]: 233
flag_gems.ops.mm.general_mm, [shape info]: [-, 160, 2112, 7168](batch, M, N, K), [count]: 233
